"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"21","Brandin Cooks (DAL)","90","134","1,037","11.5","52","24","6","2","21","0","0","16","141.8","8.9","70.5%"
"22","Darnell Mooney (CHI)","81","140","1,055","13.0","64","26","4","6","32","1","0","17","138.7","8.2","17.6%"
"23","Amon-Ra St. Brown (DET)","90","119","912","10.1","37","15","5","7","61","1","0","16","137.3","8.6","100.0%"
"24","Terry McLaurin (WAS)","77","130","1,053","13.7","46","27","5","1","12","0","0","17","136.5","8.0","90.8%"
"25","Marquise Brown (ARI)","91","146","1,008","11.1","49","24","6","1","5","0","1","16","135.3","8.5","85.6%"
"26","Amari Cooper (CLE)","68","104","865","12.7","41","20","8","0","0","0","0","15","134.5","9.0","92.9%"
"27","Adam Thielen (CAR)","67","95","726","10.8","35","16","10","1","2","0","0","13","132.8","10.2","91.4%"
"28","Christian Kirk (JAC)","77","103","982","12.8","50","28","5","1","11","0","0","17","130.6","7.7","86.5%"
"29","Kendrick Bourne (NE)","55","70","800","14.5","75","22","5","12","125","0","1","17","125.5","7.4","5.4%"
"30","DeVonta Smith (PHI)","64","104","916","14.3","46","22","5","0","0","0","1","17","121.6","7.2","98.3%"
"31","Van Jefferson (ATL)","50","89","802","16.0","79","26","6","2","20","0","0","17","118.2","7.0","2.4%"
"32","A.J. Brown (PHI)","63","105","869","13.8","57","17","5","2","10","0","0","13","117.9","9.1","100.0%"
"33","Tyler Boyd (CIN)","67","94","828","12.4","68","18","5","2","22","0","0","16","116.8","7.3","49.6%"
"34","Brandon Aiyuk (SF)","56","84","826","14.8","43","23","5","5","17","0","1","17","114.3","6.7","97.6%"
"35","K.J. Osborn (MIN)","50","82","655","13.1","64","18","7","1","10","0","0","17","108.5","6.4","22.4%"
"36","Chase Claypool (MIA)","59","105","860","14.6","59","26","2","14","96","0","0","15","107.6","7.2","2.4%"
"37","Marvin Jones Jr. (FA)","73","120","832","11.4","33","15","4","0","0","0","0","17","107.2","6.3","0.6%"
"38","Marquez Callaway (NO)","46","84","698","15.2","58","18","6","0","0","0","0","17","105.8","6.2","0.0%"
"39","DeAndre Hopkins (TEN)","42","64","572","13.6","55","13","8","0","0","0","0","10","105.2","10.5","94.9%"
"40","Tim Patrick (DEN)","53","85","734","13.8","44","15","5","0","0","0","0","16","103.4","6.5","0.1%"
